"Nr.zrodla","C","Si","S","P","Mg","Mn","Ni","Cu","Mo","Cr","Al","Sn","B","V","Wydzielenia.grafitu","Udzial.wydzielen.grafitu","Srednica.sferoidow","Wielkosc.sferoidow","Nodularity","Udzial.perlitu","Udzial.ferrytu","Rm.as.cast","A5.as.cast","Minimalna.grubosc.scianki","Temperatura.austenityzacji","Czas.austenityzacji","Temperatura.przemiany.izotermicznej","Czas.przemiany.izotermicznej","Rm","R0.2","A5","Udarnosc.Charpy","Temperatura.pomiaru.udarnosci","Udzial.austenitu","Martensite.volume.fraction.X","Retained.austenite.volume.fraction.X","Twardosc"
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,300,120,956,946,0.3,NA,NA,NA,NA,NA,388
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,300,120,904,860,0.6,NA,NA,NA,NA,NA,396
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,260,120,1390,1211,0.9,NA,NA,NA,NA,NA,470
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,260,120,1332,1197,0.6,NA,NA,NA,NA,NA,463
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,260,120,1358,1211,0.7,NA,NA,NA,NA,NA,477
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,360,90,883,777,6.3,NA,NA,NA,NA,NA,309
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,360,90,909,662,5.1,NA,NA,NA,NA,NA,309
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,300,90,1195,922,4.9,NA,NA,NA,NA,NA,378
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,300,90,1182,876,4.3,NA,NA,NA,NA,NA,378
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,300,90,1195,903,4.9,NA,NA,NA,NA,NA,388
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,260,90,1312,844,3.7,NA,NA,NA,NA,NA,404
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,260,90,1299,828,3.1,NA,NA,NA,NA,NA,415
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,260,90,1247,909,3.4,NA,NA,NA,NA,NA,415
13,3.69,2.47,0.01,0.05,0.037,0.28,0,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,4,12,930,120,325,120,1115,1005,1,NA,NA,NA,NA,NA,400
13,3.69,2.47,0.01,0.05,0.037,0.28,0,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,4,12,930,120,300,120,1160,1085,1,NA,NA,NA,NA,NA,430
13,3.69,2.47,0.01,0.05,0.037,0.28,0,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,4,12,930,120,325,60,1025,700,1,NA,NA,NA,NA,NA,380
13,3.69,2.47,0.01,0.05,0.037,0.28,0,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,4,12,930,120,300,60,1075,1000,1,NA,NA,NA,NA,NA,430
14,3.68,2.47,0.014,0.006,0.056,0.23,0.15,1.1,0,NA,NA,0.13,NA,NA,100,NA,NA,NA,NA,NA,NA,846,4.4,10,900,90,310,55,1250,NA,9.8,42.5,NA,NA,NA,NA,395
22,3.5,2.7,NA,NA,0.1,0.15,1,0.54,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,120,380,60,868,604,7,NA,NA,NA,NA,NA,303
22,3.5,2.7,NA,NA,0.1,0.15,1,0.54,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,120,380,60,863,608,8,NA,NA,NA,NA,NA,296
22,3.5,2.7,NA,NA,0.1,0.15,1,0.54,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,120,380,60,832,602,7,NA,NA,NA,NA,NA,297
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,360,1544,1214,2,NA,NA,NA,NA,NA,425
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,360,1458,1235,2,NA,NA,NA,NA,NA,388
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,360,1488,1223,3,NA,NA,NA,NA,NA,407
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,240,1433,1170,2,NA,NA,NA,NA,NA,427
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,240,1328,1184,1,NA,NA,NA,NA,NA,412
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,240,1482,1161,1.5,NA,NA,NA,NA,NA,447
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,120,1476,828,2,NA,NA,NA,NA,NA,420
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,120,1362,902,2,NA,NA,NA,NA,NA,427
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,60,959,787,0,NA,NA,NA,NA,NA,452
22,3.37,2.32,0.008,0.03,0.039,0.2,1.49,NA,0.13,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,10,900,240,245,60,976,818,1,NA,NA,NA,NA,NA,452
27,3.46,2.48,0.01,0.02,0.043,0.39,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910,120,350,180,1060,NA,7.7,NA,NA,39.5,NA,NA,305
27,3.46,2.48,0.01,0.02,0.043,0.39,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910,120,320,180,1280,NA,6.5,NA,NA,34.5,NA,NA,340
27,3.46,2.48,0.01,0.02,0.043,0.39,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910,120,290,180,1460,NA,5,NA,NA,32.8,NA,NA,385
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,385,360,1030,676,9.8,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,370,360,1050,717,10.4,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,355,360,1080,779,8.6,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,345,360,1100,834,8.1,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,315,360,1140,951,7.2,NA,NA,NA,NA,NA,332
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,290,360,1350,1020,5.8,NA,NA,NA,NA,NA,362
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,260,360,1500,1150,4.2,NA,NA,NA,NA,NA,404
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,230,360,1590,1220,2.6,NA,NA,NA,NA,NA,437
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,385,240,1010,634,11.4,NA,NA,NA,NA,NA,290
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,370,240,1090,772,12.4,NA,NA,NA,NA,NA,283
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,355,240,1100,807,10.2,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,345,240,1140,869,10.3,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,315,240,1200,910,6.5,NA,NA,NA,NA,NA,322
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,290,240,1380,1090,3.7,NA,NA,NA,NA,NA,393
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,260,240,1520,1160,4,NA,NA,NA,NA,NA,415
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,230,240,1600,1200,2.4,NA,NA,NA,NA,NA,448
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,385,180,1030,620,11.6,NA,NA,NA,NA,NA,290
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,370,180,1040,760,9.4,NA,NA,NA,NA,NA,283
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,355,180,1080,786,8.2,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,345,180,1130,834,7.5,NA,NA,NA,NA,NA,297
29,3.59,2.52,0.007,0.024,0.028,0.31,1.53,0.03,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,120,315,180,1230,958,5.8,NA,NA,NA,NA,NA,342
