"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,448
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.31831199999998,290
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.34335199999998,283
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5986,8.23063633333331,342
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21368299999998,372
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,415
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,448
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.31831199999998,290
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.768,8.26737199999998,305
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.758666666667,8.24353699999998,313
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,685.029,8.25172833333331,332
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5886,8.23063633333331,352
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,415
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,437
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.31831199999998,290
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.768,8.26737199999998,305
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,685.029,8.25172833333331,332
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.6081,8.21883633333331,362
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21412299999998,404
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,448
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.768,8.26737199999998,305
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.758666666667,8.24353699999998,313
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.758666666667,8.24353699999998,313
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5986,8.23063633333331,342
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21368299999998,372
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21412299999998,404
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3126,8.21962299999998,460
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.31831199999998,290
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.34335199999998,283
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.758666666667,8.24353699999998,313
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.6081,8.21883633333331,362
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21368299999998,382
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,415
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3126,8.21962299999998,496
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5886,8.23063633333331,352
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.768,8.26737199999998,305
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,685.029,8.25172833333331,332
